,Unnamed: 0.1,Cluster Name,Keyword,page,Unnamed: 0,clicks,impressions,ctr,position,Cluster,query
0,0,Travel,10 best places,https://bookonboard.com/web-stories/best-places-to-visit-in-new-york-state-in-2022/,119638729,0,145,0.0,10549.16667,Travel,78
1,1,Travel,10 best places to go,https://bookonboard.com/web-stories/10-amazing-places-to-visit-in-new-york-state-in-sep-2022/,98630063,0,129,0.0,8553.833333,Travel,55
2,2,Travel,10 best places to retire,https://bookonboard.com/web-stories/top-12-best-cheapest-places-to-retire-in-the-us-in-2022-copy/,143928890,0,228,0.0,14112.85,Travel,109
3,3,Travel,10 best places to visit in alaska,https://bookonboard.com/alaska-visiting-places/,195099856,0,286,0.0,17781.08333,Travel,29
4,4,Travel,10 best places to visit in malta,https://bookonboard.com/things-to-do-in-malta/,609157646,0,950,0.0,60212.99524,Travel,65
5,5,Travel,10 best places to visit in paris,https://bookonboard.com/best-things-to-do-in-paris/,401032643,0,460,0.0,24873.91667,Travel,51
6,6,Travel,10 best places to visit in texas,https://bookonboard.com/texas-travel/,711128452,0,633,0.0,26229.75,Travel,20
7,7,Travel,10 best uk beaches,https://bookonboard.com/uk-beaches/,132708916,0,198,0.0,8049.47381,Travel,15
8,8,Travel,10 places to visit in new york,https://bookonboard.com/places-to-visit-in-new-york/,288324524,0,419,0.0,22191.90556,Travel,118
9,9,Travel,10 places to visit in the uk,https://bookonboard.com/uk-travel-guide/,177261721,0,160,0.0,11922.16667,Travel,39
10,10,Travel,50 beautiful places in the world,https://bookonboard.com/most-beautiful-places-in-the-world/,21461634,0,57,0.0,3182.0,Travel,6
11,11,Travel,50 most beautiful places in the world,https://bookonboard.com/most-beautiful-places-in-the-world/#1_Salar_de_Uyuni_Bolivia,23973,0,1,0.0,57.0,Travel,1
12,12,Travel,50 most beautiful places in the world,https://bookonboard.com/most-beautiful-places-in-the-world/#2_Angkor_wat_Cambodia,23974,0,1,0.0,57.0,Travel,1
13,13,Travel,best place for new year,https://bookonboard.com/new-year-dubai/,48107986,0,116,0.0,7308.0,Travel,10
